"","","title","address","access","age","floor","fee","manegement_fee","deposit","gratuity","madori","menseki","link","image","date"
"32","","オーキッドレジデンス西小岩","東京都江戸川区西小岩１","
ＪＲ総武線/小岩駅 歩9分
京成本線/京成小岩駅 バス5分 (バス停)小岩駅 歩8分
北総線/京成高砂駅 バス13分 (バス停)小岩駅北口 歩8分
","
築29年
9階建
","
											3階","12万円","10000円","-","-","2LDK","56.16m2","https://suumo.jp//chintai/jnc_000077383886/?bc=100295637298","https://img01.suumo.com/front/gazo/fr/bukken/298/100295637298/100295637298_co.jpg","2022-10-17"
"33","","オーキッドレジデンス西小岩","東京都江戸川区西小岩１","
ＪＲ総武線/小岩駅 歩9分
京成本線/京成小岩駅 バス5分 (バス停)小岩駅 歩8分
北総線/京成高砂駅 バス13分 (バス停)小岩駅北口 歩8分
","
築29年
9階建
","
											5階","12.4万円","10000円","-","-","2LDK","57.1m2","https://suumo.jp//chintai/jnc_000077383887/?bc=100283994918","https://img01.suumo.com/front/gazo/fr/bukken/918/100283994918/100283994918_co.jpg","2022-10-17"
"34","","オーキッドレジデンス西小岩","東京都江戸川区西小岩１","
ＪＲ総武線/小岩駅 歩9分
京成本線/京成小岩駅 バス5分 (バス停)小岩駅 歩8分
北総線/京成高砂駅 バス13分 (バス停)小岩駅北口 歩8分
","
築29年
9階建
","
											6階","12.5万円","10000円","12.5万円","12.5万円","2LDK","57.1m2","https://suumo.jp//chintai/jnc_000077383888/?bc=100292230920","https://img01.suumo.com/front/gazo/fr/bukken/920/100292230920/100292230920_co.jpg","2022-10-17"
"35","","オーキッドレジデンス西小岩","東京都江戸川区西小岩１","
ＪＲ総武線/小岩駅 歩9分
京成本線/京成小岩駅 バス5分 (バス停)小岩駅 歩8分
北総線/京成高砂駅 バス13分 (バス停)小岩駅北口 歩8分
","
築29年
9階建
","
											5階","12.8万円","10000円","-","-","2LDK","57.1m2","https://suumo.jp//chintai/jnc_000076950745/?bc=100282641968","https://img01.suumo.com/front/gazo/fr/bukken/968/100282641968/100282641968_co.jpg","2022-10-17"
"36","","オーキッドレジデンス西小岩","東京都江戸川区西小岩１","
ＪＲ総武線/小岩駅 歩9分
京成本線/京成小岩駅 バス5分 (バス停)小岩駅 歩8分
北総線/京成高砂駅 バス13分 (バス停)小岩駅北口 歩8分
","
築29年
9階建
","
											6階","12.9万円","10000円","-","-","2LDK","57.1m2","https://suumo.jp//chintai/jnc_000076950746/?bc=100289639029","https://img01.suumo.com/front/gazo/fr/bukken/029/100289639029/100289639029_co.jpg","2022-10-17"
"37","","ＪＲ中央線 荻窪駅 5階建 築28年","東京都杉並区上荻１","
ＪＲ中央線/荻窪駅 歩6分
ＪＲ中央線/西荻窪駅 歩20分
ＪＲ中央線/阿佐ケ谷駅 歩25分
","
築28年
5階建
","
											2階","12.9万円","5000円","12.9万円","12.9万円","2LDK","46.57m2","https://suumo.jp//chintai/jnc_000077483533/?bc=100300797370","https://img01.suumo.com/front/gazo/fr/bukken/370/100300797370/100300797370_co.jpg","2022-10-17"
"38","","イーグル上荻","東京都杉並区上荻１","
ＪＲ中央線/荻窪駅 歩6分
ＪＲ中央線/西荻窪駅 歩20分
ＪＲ中央線/阿佐ケ谷駅 歩25分
","
築28年
5階建
","
											2階","12.9万円","5000円","12.9万円","12.9万円","2LDK","46.57m2","https://suumo.jp//chintai/jnc_000077483532/?bc=100300797181","https://img01.suumo.com/front/gazo/fr/bukken/181/100300797181/100300797181_co.jpg","2022-10-17"
"39","","ファースト浅賀","東京都杉並区高円寺北４","
ＪＲ中央線/高円寺駅 歩9分
ＪＲ中央線/阿佐ケ谷駅 歩15分
西武新宿線/都立家政駅 歩19分
","
築25年
6階建
","
											3階","11.5万円","10000円","11.5万円","-","1LDK","45.65m2","https://suumo.jp//chintai/jnc_000076983481/?bc=100300499780","https://img01.suumo.com/front/gazo/fr/bukken/780/100300499780/100300499780_co.jpg","2022-10-17"
"40","","ファースト浅賀","東京都杉並区高円寺北４","
ＪＲ中央線/高円寺駅 歩9分
ＪＲ中央線/阿佐ケ谷駅 歩15分
西武新宿線/都立家政駅 歩19分
","
築25年
6階建
","
											3階","12.5万円","10000円","12.5万円","-","1LDK","45.65m2","https://suumo.jp//chintai/jnc_000076988947/?bc=100300335818","https://img01.suumo.com/front/gazo/fr/bukken/818/100300335818/100300335818_co.jpg","2022-10-17"
"41","","ファースト浅賀","東京都杉並区高円寺北４","
ＪＲ中央線/高円寺駅 歩9分
ＪＲ中央線/阿佐ケ谷駅 歩15分
西武新宿線/都立家政駅 歩19分
","
築25年
6階建
","
											4階","13万円","10000円","13万円","13万円","1LDK","47m2","https://suumo.jp//chintai/jnc_000033389397/?bc=100297434291","https://img01.suumo.com/front/gazo/fr/bukken/291/100297434291/100297434291_co.jpg","2022-10-17"
