"","","title","address","access","age","floor","fee","manegement_fee","deposit","gratuity","madori","menseki","link","image","date"
"124","","東京メトロ丸ノ内線 新中野駅 3階建 築16年","東京都中野区中央３","
東京メトロ丸ノ内線/新中野駅 歩5分
都営大江戸線/中野坂上駅 歩12分
ＪＲ総武線/中野駅 歩14分
","
築16年
3階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000077977681/?bc=100303604911","https://img01.suumo.com/front/gazo/fr/bukken/911/100303604911/100303604911_co.jpg","2022-11-08"
"125","","東京メトロ丸ノ内線 方南町駅 2階建 築5年","東京都杉並区方南２","
東京メトロ丸ノ内線/方南町駅 歩6分
東京メトロ丸ノ内線/東高円寺駅 歩20分
東京メトロ丸ノ内線/中野富士見町駅 歩12分
","
築5年
2階建
","
											2階","12.5万円","2000円","12.5万円","12.5万円","1LDK","48.23m2","https://suumo.jp//chintai/jnc_000077912146/?bc=100303577108","https://img01.suumo.com/front/gazo/fr/bukken/108/100303577108/100303577108_co.jpg","2022-11-08"
"126","","東京メトロ丸ノ内線 方南町駅 2階建 築5年","東京都杉並区方南２","
東京メトロ丸ノ内線/方南町駅 歩6分
東京メトロ丸ノ内線/東高円寺駅 歩20分
東京メトロ丸ノ内線/中野富士見町駅 歩12分
","
築5年
2階建
","
											2階","12.5万円","2000円","12.5万円","12.5万円","2DK","47.82m2","https://suumo.jp//chintai/jnc_000077904813/?bc=100303341826","https://img01.suumo.com/front/gazo/fr/bukken/826/100303341826/100303341826_co.jpg","2022-11-08"
"127","","京王線 代田橋駅 3階建 築10年","東京都渋谷区笹塚２","
京王線/代田橋駅 歩7分
京王線/笹塚駅 歩8分
東京メトロ丸ノ内線/方南町駅 歩17分
","
築10年
3階建
","
											3階","13.2万円","2000円","13.2万円","19.8万円","1LDK","46.79m2","https://suumo.jp//chintai/jnc_000077619775/?bc=100301784335","https://img01.suumo.com/front/gazo/fr/bukken/335/100301784335/100301784335_co.jpg","2022-11-08"
"128","","グランツ明大前","東京都杉並区和泉２","
京王線/代田橋駅 歩7分
京王線/明大前駅 歩11分
京王線/笹塚駅 歩15分
","
築4年
2階建
","
											2階","13.5万円","5000円","13.5万円","13.5万円","1LDK","47.71m2","https://suumo.jp//chintai/jnc_000077726404/?bc=100302189452","https://img01.suumo.com/front/gazo/fr/bukken/452/100302189452/100302189452_co.jpg","2022-11-08"
"129","","京王線 代田橋駅 3階建 築7年","東京都世田谷区大原２","
京王線/代田橋駅 歩5分
京王井の頭線/東松原駅 歩10分
京王線/笹塚駅 歩13分
","
築7年
3階建
","
											2-3階","13.5万円","3000円","-","13.5万円","1LDK","50.1m2","https://suumo.jp//chintai/jnc_000059365270/?bc=100303365867","https://img01.suumo.com/front/gazo/fr/bukken/867/100303365867/100303365867_co.jpg","2022-11-08"
"130","","ベルヴィル大原","東京都世田谷区大原２","
京王線/代田橋駅 歩5分
京王井の頭線/東松原駅 歩10分
京王線/笹塚駅 歩13分
","
築7年
3階建
","
											2-3階","13.5万円","3000円","-","13.5万円","1LDK","50.1m2","https://suumo.jp//chintai/jnc_000059365269/?bc=100303142595","https://img01.suumo.com/front/gazo/fr/bukken/595/100303142595/100303142595_co.jpg","2022-11-08"
"131","","クレールＫ","東京都渋谷区笹塚２","
京王線/笹塚駅 歩8分
京王線/代田橋駅 歩7分
東京メトロ丸ノ内線/方南町駅 歩17分
","
築10年
3階建
","
											3階","13.2万円","2000円","13.2万円","19.8万円","1LDK","46.79m2","https://suumo.jp//chintai/jnc_000077615526/?bc=100301793196","https://img01.suumo.com/front/gazo/fr/bukken/196/100301793196/100301793196_co.jpg","2022-11-08"
"132","","ＪＲ中央線 西荻窪駅 5階建 築21年","東京都杉並区松庵２","
ＪＲ中央線/西荻窪駅 歩9分
京王井の頭線/三鷹台駅 歩18分
京王井の頭線/久我山駅 歩20分
","
築21年
5階建
","
											3階","13.5万円","-","13.5万円","13.5万円","1LDK","54.6m2","https://suumo.jp//chintai/jnc_000077008410/?bc=100285576740","https://img01.suumo.com/front/gazo/fr/bukken/740/100285576740/100285576740_co.jpg","2022-11-08"
"133","","アズキ・マ・メゾン住吉","東京都江東区住吉２","
都営新宿線/住吉駅 歩2分
都営新宿線/西大島駅 歩14分
ＪＲ総武線/錦糸町駅 歩19分
","
築1年
2階建
","
											2階","13.8万円","-","13.8万円","13.8万円","2LDK","56.38m2","https://suumo.jp//chintai/jnc_000077026606/?bc=100297921468","https://img01.suumo.com/front/gazo/fr/bukken/468/100297921468/100297921468_co.jpg","2022-11-08"
"134","","都営新宿線 西大島駅 11階建 築29年","東京都江東区大島１","
都営新宿線/西大島駅 歩3分
東京メトロ半蔵門線/住吉駅 歩6分
ＪＲ総武線/亀戸駅 歩15分
","
築29年
11階建
","
											3階","13.2万円","8000円","26.4万円","-","2LDK","56.7m2","https://suumo.jp//chintai/jnc_000077392001/?bc=100301689692","https://img01.suumo.com/front/gazo/fr/bukken/692/100301689692/100301689692_co.jpg","2022-11-08"
"135","","東京メトロ丸ノ内線 中野新橋駅 3階建 築4年","東京都中野区弥生町３","
東京メトロ丸ノ内線/中野新橋駅 歩5分
東京メトロ丸ノ内線/中野富士見町駅 歩12分
都営大江戸線/西新宿五丁目駅 歩14分
","
築4年
3階建
","
											2階","13.5万円","5000円","13.5万円","13.5万円","1LDK","50.88m2","https://suumo.jp//chintai/jnc_000076782885/?bc=100296984034","https://img01.suumo.com/front/gazo/fr/bukken/034/100296984034/100296984034_co.jpg","2022-11-08"
"136","","オリーブコート","東京都中野区本町６","
東京メトロ丸ノ内線/新中野駅 歩3分
ＪＲ中央線/中野駅 歩13分
東京メトロ丸ノ内線/東高円寺駅 歩11分
","
築11年
2階建
","
											2階","13.5万円","3000円","13.5万円","16.88万円","1LDK","47.94m2","https://suumo.jp//chintai/jnc_000077404110/?bc=100300408308","https://img01.suumo.com/front/gazo/fr/bukken/308/100300408308/100300408308_co.jpg","2022-11-08"
"137","","Maison Bonheur","東京都墨田区向島５","
東京メトロ半蔵門線/押上駅 歩10分
東武伊勢崎線/曳舟駅 歩8分
京成押上線/京成曳舟駅 歩12分
","
築8年
3階建
","
											2階","13.7万円","3000円","13.7万円","27.4万円","1LDK","63.18m2","https://suumo.jp//chintai/jnc_000056832085/?bc=100302046876","https://img01.suumo.com/front/gazo/fr/bukken/876/100302046876/100302046876_co.jpg","2022-11-08"
"138","","Ｍコート松庵","東京都杉並区松庵２","
ＪＲ中央線/西荻窪駅 歩9分
京王井の頭線/三鷹台駅 歩19分
京王井の頭線/久我山駅 歩18分
","
築21年
5階建
","
											3階","13.5万円","-","13.5万円","13.5万円","1LDK","54.6m2","https://suumo.jp//chintai/jnc_000077008409/?bc=100269210093","https://img01.suumo.com/front/gazo/fr/bukken/093/100269210093/100269210093_co.jpg","2022-11-08"
"139","","京王線 笹塚駅 3階建 築10年","東京都渋谷区笹塚２","
京王線/笹塚駅 歩8分
京王線/代田橋駅 歩7分
東京メトロ丸ノ内線/方南町駅 歩16分
","
築10年
3階建
","
											3階","13.2万円","2000円","13.2万円","19.8万円","1LDK","46.79m2","https://suumo.jp//chintai/jnc_000077619775/?bc=100301723689","https://img01.suumo.com/front/gazo/fr/bukken/689/100301723689/100301723689_co.jpg","2022-11-08"
"140","","アーバンハイツ中野(アーバンハイツナカノ)","東京都中野区弥生町３","
東京メトロ丸ノ内線/中野新橋駅 歩5分
都営大江戸線/西新宿五丁目駅 歩14分
東京メトロ丸ノ内線/中野富士見町駅 歩13分
","
築4年
3階建
","
											2階","13.5万円","5000円","13.5万円","13.5万円","1LDK","50.88m2","https://suumo.jp//chintai/jnc_000076767192/?bc=100300558793","https://img01.suumo.com/front/gazo/fr/bukken/793/100300558793/100300558793_co.jpg","2022-11-08"
"141","","東京メトロ丸ノ内線 新中野駅 2階建 築16年","東京都中野区中央３","
東京メトロ丸ノ内線/新中野駅 歩5分
ＪＲ総武線/中野駅 歩14分
東京メトロ丸ノ内線/中野新橋駅 歩13分
","
築16年
2階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000077977681/?bc=100303589491","https://img01.suumo.com/front/gazo/fr/bukken/491/100303589491/100303589491_co.jpg","2022-11-08"
"142","","クレールK","東京都渋谷区笹塚２","
京王線/代田橋駅 歩7分
京王線/笹塚駅 歩8分
東京メトロ丸ノ内線/方南町駅 歩17分
","
築10年
3階建
","
											3階","13.2万円","2000円","13.2万円","19.8万円","1LDK","46.79m2","https://suumo.jp//chintai/jnc_000077615526/?bc=100301783585","https://img01.suumo.com/front/gazo/fr/bukken/585/100301783585/100301783585_co.jpg","2022-11-08"
"143","","ネッラ フォレスタ","東京都杉並区方南２","
東京メトロ丸ノ内線/方南町駅 歩6分
東京メトロ丸ノ内線/中野富士見町駅 歩12分
東京メトロ丸ノ内線/東高円寺駅 歩20分
","
築5年
2階建
","
											2階","12.5万円","2000円","12.5万円","12.5万円","1LDK","48.23m2","https://suumo.jp//chintai/jnc_000077904811/?bc=100303546396","https://img01.suumo.com/front/gazo/fr/bukken/396/100303546396/100303546396_co.jpg","2022-11-08"
"144","","ネッラ フォレスタ","東京都杉並区方南２","
東京メトロ丸ノ内線/方南町駅 歩6分
東京メトロ丸ノ内線/中野富士見町駅 歩12分
東京メトロ丸ノ内線/東高円寺駅 歩20分
","
築5年
2階建
","
											2階","12.5万円","2000円","12.5万円","12.5万円","2DK","47.82m2","https://suumo.jp//chintai/jnc_000077904812/?bc=100303285640","https://img01.suumo.com/front/gazo/fr/bukken/640/100303285640/100303285640_co.jpg","2022-11-08"
"145","","ネッラフォレスタ","東京都杉並区方南２","
東京メトロ丸ノ内線/方南町駅 歩6分
東京メトロ丸ノ内線/中野富士見町駅 歩12分
東京メトロ丸ノ内線/東高円寺駅 歩20分
","
築5年
2階建
","
											2階","12.5万円","2000円","12.5万円","12.5万円","1LDK","48.23m2","https://suumo.jp//chintai/jnc_000077904811/?bc=100303317545","https://img01.suumo.com/front/gazo/fr/bukken/545/100303317545/100303317545_co.jpg","2022-11-08"
"146","","ネッラフォレスタ","東京都杉並区方南２","
東京メトロ丸ノ内線/方南町駅 歩6分
東京メトロ丸ノ内線/中野富士見町駅 歩12分
東京メトロ丸ノ内線/東高円寺駅 歩20分
","
築5年
2階建
","
											2階","12.5万円","2000円","12.5万円","12.5万円","2DK","47.82m2","https://suumo.jp//chintai/jnc_000077904812/?bc=100303283903","https://img01.suumo.com/front/gazo/fr/bukken/903/100303283903/100303283903_co.jpg","2022-11-08"
"147","","ＪＲ中央線 西荻窪駅 5階建 築22年","東京都杉並区松庵２","
ＪＲ中央線/西荻窪駅 歩9分
京王井の頭線/三鷹台駅 歩18分
ＪＲ中央線/吉祥寺駅 歩23分
","
築22年
5階建
","
											3階","13.5万円","-","13.5万円","13.5万円","1LDK","54.6m2","https://suumo.jp//chintai/jnc_000077008410/?bc=100298718639","https://img01.suumo.com/front/gazo/fr/bukken/639/100298718639/100298718639_co.jpg","2022-11-08"
"148","","ティンパンアレー","東京都中野区中央３","
東京メトロ丸ノ内線/新中野駅 歩5分
都営大江戸線/中野坂上駅 歩12分
ＪＲ総武線/中野駅 歩14分
","
築16年
3階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000077973330/?bc=100303604911","https://img01.suumo.com/front/gazo/fr/bukken/911/100303604911/100303604911_co.jpg","2022-11-08"
"149","","ティンパンアレー","東京都中野区中央３","
東京メトロ丸ノ内線/新中野駅 歩5分
都営大江戸線/中野坂上駅 歩12分
ＪＲ総武線/中野駅 歩14分
","
築16年
3階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000078047064/?bc=100303734258","https://img01.suumo.com/front/gazo/fr/bukken/258/100303734258/100303734258_co.jpg","2022-11-08"
"150","","Mコート松庵","東京都杉並区松庵２","
ＪＲ中央線/西荻窪駅 歩9分
京王井の頭線/三鷹台駅 歩19分
ＪＲ中央線/吉祥寺駅 歩23分
","
築21年
5階建
","
											3階","13.5万円","-","13.5万円","13.5万円","1LDK","54.6m2","https://suumo.jp//chintai/jnc_000077008409/?bc=100303674784","https://img01.suumo.com/front/gazo/fr/bukken/784/100303674784/100303674784_co.jpg","2022-11-09"
"151","","ＪＲ中央線 中野駅 2階建 築16年","東京都中野区中央３","
ＪＲ中央線/中野駅 歩14分
東京メトロ丸ノ内線/新中野駅 歩5分
東京メトロ丸ノ内線/中野坂上駅 歩15分
","
築16年
2階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000077977681/?bc=100303589491","https://img01.suumo.com/front/gazo/fr/bukken/491/100303589491/100303589491_co.jpg","2022-11-09"
"152","","ＪＲ中央線 中野駅 2階建 築16年","東京都中野区中央３","
ＪＲ中央線/中野駅 歩14分
東京メトロ丸ノ内線/新中野駅 歩5分
東京メトロ丸ノ内線/中野坂上駅 歩15分
","
築16年
2階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000078047065/?bc=100303745395","https://img01.suumo.com/front/gazo/fr/bukken/395/100303745395/100303745395_co.jpg","2022-11-09"
"153","","プリマヴェーラ","東京都世田谷区上祖師谷１","
京王線/千歳烏山駅 歩9分
京王線/芦花公園駅 歩20分
京王線/仙川駅 歩23分
","
築9年
2階建
","
											2階","11.8万円","3000円","-","11.8万円","1LDK","46.09m2","https://suumo.jp//chintai/jnc_000078082425/?bc=100303994155","https://img01.suumo.com/front/gazo/fr/bukken/155/100303994155/100303994155_co.jpg","2022-11-11"
"154","","京王線 千歳烏山駅 2階建 築9年","東京都世田谷区上祖師谷１","
京王線/千歳烏山駅 歩9分
京王線/芦花公園駅 歩19分
京王線/仙川駅 歩20分
","
築9年
2階建
","
											2階","11.8万円","3000円","-","11.8万円","1LDK","46.09m2","https://suumo.jp//chintai/jnc_000078101432/?bc=100304003559","https://img01.suumo.com/front/gazo/fr/bukken/559/100304003559/100304003559_co.jpg","2022-11-11"
"155","","東京メトロ丸ノ内線 新中野駅 2階建 築20年","東京都中野区中央３","
東京メトロ丸ノ内線/新中野駅 歩5分
ＪＲ総武線/中野駅 歩14分
都営大江戸線/中野坂上駅 歩15分
","
築20年
2階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000078116547/?bc=100304079952","https://img01.suumo.com/front/gazo/fr/bukken/952/100304079952/100304079952_co.jpg","2022-11-11"
"156","","Tin　Pan　Alley","東京都中野区中央３","
東京メトロ丸ノ内線/新中野駅 歩5分
ＪＲ中央線/中野駅 歩14分
東京メトロ丸ノ内線/中野新橋駅 歩13分
","
築16年
2階建
","
											2階","13.8万円","-","27.6万円","13.8万円","1LDK","49.79m2","https://suumo.jp//chintai/jnc_000078047064/?bc=100303809580","https://img01.suumo.com/front/gazo/fr/bukken/580/100303809580/100303809580_co.gif","2022-11-11"
"157","","Design Maison Hale Kupuna","東京都中野区南台２","
東京メトロ丸ノ内線/中野富士見町駅 歩10分
東京メトロ丸ノ内線/中野新橋駅 歩13分
東京メトロ丸ノ内線/方南町駅 歩15分
","
築2年
3階建
","
											2階","13.6万円","2000円","13.6万円","13.6万円","1LDK","45.11m2","https://suumo.jp//chintai/jnc_000078116573/?bc=100304099289","https://img01.suumo.com/front/gazo/fr/bukken/289/100304099289/100304099289_co.jpg","2022-11-12"
"158","","京成押上線 押上駅 3階建 築9年","東京都墨田区向島２","
京成押上線/押上駅 歩10分
東武伊勢崎線/とうきょうスカイツリー駅 歩11分
東武伊勢崎線/曳舟駅 歩12分
","
築9年
3階建
","
											3階","11.5万円","3000円","5.75万円","17.25万円","1LDK","45m2","https://suumo.jp//chintai/jnc_000078123154/?bc=100304115196","https://img01.suumo.com/front/gazo/fr/bukken/196/100304115196/100304115196_co.jpg","2022-11-12"
"159","","カーサ　デル　フイオーレ","東京都墨田区向島２","
東京メトロ半蔵門線/押上駅 歩10分
東武伊勢崎線/曳舟駅 歩10分
東京メトロ銀座線/浅草駅 歩13分
","
築9年
3階建
","
											3階","11.5万円","3000円","5.75万円","17.25万円","1LDK","45m2","https://suumo.jp//chintai/jnc_000078123153/?bc=100304128568","https://img01.suumo.com/front/gazo/fr/bukken/568/100304128568/100304128568_co.jpg","2022-11-12"
"160","","東京メトロ半蔵門線 押上駅 3階建 築9年","東京都墨田区向島２","
東京メトロ半蔵門線/押上駅 歩10分
東武伊勢崎線/とうきょうスカイツリー駅 歩11分
都営浅草線/本所吾妻橋駅 歩13分
","
築9年
3階建
","
											3階","11.5万円","3000円","5.75万円","17.25万円","1LDK","45m2","https://suumo.jp//chintai/jnc_000078123154/?bc=100304141433","https://img01.suumo.com/front/gazo/fr/bukken/433/100304141433/100304141433_co.jpg","2022-11-12"
"161","","カーサ　デル　フィオーレ","東京都墨田区向島２","
東京メトロ半蔵門線/押上駅 歩10分
都営浅草線/本所吾妻橋駅 歩11分
東武伊勢崎線/曳舟駅 歩12分
","
築9年
3階建
","
											3階","11.5万円","3000円","5.75万円","17.25万円","1LDK","45m2","https://suumo.jp//chintai/jnc_000078123153/?bc=100304205837","https://img01.suumo.com/front/gazo/fr/bukken/837/100304205837/100304205837_co.jpg","2022-11-13"
"162","","カーサデルフィオーレ","東京都墨田区向島２","
東京メトロ半蔵門線/押上駅 歩10分
東武伊勢崎線/とうきょうスカイツリー駅 歩11分
東武伊勢崎線/曳舟駅 歩13分
","
築9年
3階建
","
											3階","11.5万円","3000円","5.75万円","17.25万円","1LDK","45m2","https://suumo.jp//chintai/jnc_000078123153/?bc=100304251720","https://img01.suumo.com/front/gazo/fr/bukken/720/100304251720/100304251720_co.jpg","2022-11-13"
"163","","グランツ明大前","東京都杉並区和泉２","
京王線/代田橋駅 歩7分
京王線/明大前駅 歩11分
京王線/笹塚駅 歩15分
","
築6年
2階建
","
											2階","13.4万円","5000円","13.4万円","13.4万円","1LDK","47.71m2","https://suumo.jp//chintai/jnc_000087668970/?bc=100361173479","https://img01.suumo.com/front/gazo/fr/bukken/479/100361173479/100361173479_co.jpg","2024-02-02"
"164","","東京メトロ丸ノ内線 東高円寺駅 2階建 築9年","東京都杉並区和田３","
東京メトロ丸ノ内線/東高円寺駅 歩9分
東京メトロ丸ノ内線/新高円寺駅 歩13分
東京メトロ丸ノ内線/方南町駅 歩15分
","
築9年
2階建
","
											2階","10.5万円","2000円","10.5万円","10.5万円","1LDK","45.91m2","https://suumo.jp//chintai/jnc_000055785782/?bc=100360448526","https://img01.suumo.com/front/gazo/fr/bukken/526/100360448526/100360448526_co.jpg","2024-02-02"
"165","","ミハス芦花公園西","東京都世田谷区粕谷４","
京王線/千歳烏山駅 歩8分
京王線/芦花公園駅 歩14分
京王線/八幡山駅 歩20分
","
築8年
3階建
","
											2階","12.4万円","8000円","-","12.4万円","1LDK","53.94m2","https://suumo.jp//chintai/jnc_000087144755/?bc=100358362741","https://img01.suumo.com/front/gazo/fr/bukken/741/100358362741/100358362741_co.jpg","2024-02-02"
"166","","ヴィラピネド","東京都杉並区阿佐谷北４","
ＪＲ中央線/阿佐ケ谷駅 歩10分
西武新宿線/鷺ノ宮駅 歩17分
東京メトロ丸ノ内線/南阿佐ケ谷駅 歩17分
","
築9年
2階建
","
											2階","13.6万円","2000円","13.6万円","13.6万円","1LDK","54.25m2","https://suumo.jp//chintai/jnc_000087668955/?bc=100361146904","https://img01.suumo.com/front/gazo/fr/bukken/904/100361146904/100361146904_co.jpg","2024-02-02"
